Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
409	880	29	1	04/27/26 09:21:22 AM	
410	880	26	1	04/27/26 09:21:23 AM	
411	880	40	1	04/27/26 09:21:24 AM	
412	880	29	1	04/27/26 09:21:26 AM	
413	880	28	1	04/27/26 09:21:27 AM	
414	880	41	1	04/27/26 09:21:28 AM	
415	880	37	1	04/27/26 09:21:29 AM	
416	880	41	1	04/27/26 09:21:30 AM	
417	880	35	1	04/27/26 09:21:31 AM	
418	880	42	1	04/27/26 09:21:33 AM	
419	880	25	1	04/27/26 09:21:34 AM	
420	880	39	1	04/27/26 09:21:35 AM	
421	880	40	1	04/27/26 09:21:36 AM	
422	880	39	1	04/27/26 09:21:37 AM	
423	880	34	1	04/27/26 09:21:39 AM	
424	880	37	1	04/27/26 09:21:40 AM	
425	880	30	1	04/27/26 09:21:41 AM	
426	880	33	1	04/27/26 09:21:42 AM	
427	880	34	1	04/27/26 09:21:43 AM	
428	880	40	1	04/27/26 09:21:44 AM	
429	880	29	1	04/27/26 09:21:46 AM	
430	880	38	1	04/27/26 09:21:47 AM	
431	880	40	1	04/27/26 09:21:48 AM	
432	880	24	1	04/27/26 09:21:49 AM	
433	880	35	1	04/27/26 09:21:50 AM	
434	880	38	1	04/27/26 09:21:51 AM	
435	880	35	1	04/27/26 09:21:53 AM	
436	880	32	1	04/27/26 09:21:54 AM	
437	880	41	1	04/27/26 09:21:55 AM	
438	880	27	1	04/27/26 09:21:56 AM	
439	880	34	1	04/27/26 09:21:57 AM	
440	880	37	1	04/27/26 09:21:58 AM	
441	880	48	1	04/27/26 09:22:00 AM	
442	880	33	1	04/27/26 09:22:01 AM	
443	880	41	1	04/27/26 09:22:02 AM	
444	880	40	1	04/27/26 09:22:03 AM	
445	880	31	1	04/27/26 09:22:04 AM	
446	880	39	1	04/27/26 09:22:06 AM	
447	880	36	1	04/27/26 09:22:07 AM	
448	880	38	1	04/27/26 09:22:08 AM	
449	880	30	1	04/27/26 09:22:09 AM	
450	880	33	1	04/27/26 09:22:10 AM	
451	880	33	1	04/27/26 09:22:11 AM	
452	880	35	1	04/27/26 09:22:13 AM	
453	880	35	1	04/27/26 09:22:14 AM	
454	880	36	1	04/27/26 09:22:15 AM	
455	880	32	1	04/27/26 09:22:16 AM	
456	880	34	1	04/27/26 09:22:17 AM	
457	880	29	1	04/27/26 09:22:19 AM	
458	880	37	1	04/27/26 09:22:20 AM	
459	880	40	1	04/27/26 09:22:21 AM	
460	880	34	1	04/27/26 09:22:22 AM	
461	880	38	1	04/27/26 09:22:23 AM	
462	880	29	1	04/27/26 09:22:25 AM	
463	880	35	1	04/27/26 09:22:26 AM	
464	880	34	1	04/27/26 09:22:27 AM	
465	880	39	1	04/27/26 09:22:28 AM	
466	880	35	1	04/27/26 09:22:29 AM	
467	880	40	1	04/27/26 09:22:30 AM	
468	880	33	1	04/27/26 09:22:32 AM	
469	880	38	1	04/27/26 09:22:33 AM	
470	880	28	1	04/27/26 09:22:34 AM	
471	880	43	1	04/27/26 09:22:35 AM	
472	880	31	1	04/27/26 09:22:36 AM	
473	880	28	1	04/27/26 09:22:37 AM	
474	880	35	1	04/27/26 09:22:39 AM	
475	880	41	1	04/27/26 09:22:40 AM	
476	880	28	1	04/27/26 09:22:41 AM	
477	880	31	1	04/27/26 09:22:42 AM	
478	880	34	1	04/27/26 09:22:43 AM	
479	880	32	1	04/27/26 09:22:45 AM	
480	880	41	1	04/27/26 09:22:46 AM	
